index,birds,frequency
843,eyethr,109
844,palthr1,120
845,sonthr1,1500
846,fieldf,1179
848,rinouz1,648
849,misthr1,963
850,smabut2,143
851,easkin,118
852,weskin,131
853,brnowl,813
854,hoopoe,466
855,commur,113
859,rewlap1,165
861,spwlap1,81
862,norlap,838
